epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,4554.81,0.50907,0.03602,0.04418,0.31821,0.86148,1,0.99964,0.995,0.92229,1,0.99964,0.995,0.995,0.4445,0.01768,0.00535,0.2581,0.83586,0.0269027,0.00896757,0.0269027,0.00896757,0.0269027,0.00896757,0.0269027,0.00896757
75,4615.59,0.50791,0.03335,0.05273,0.31603,0.86295,0.99854,0.9878,0.99488,0.91379,0.99854,0.9878,0.99488,0.99488,0.44022,0.02032,0.01461,0.25433,0.83882,0.0268603,0.00895343,0.0268603,0.00895343,0.0268603,0.00895343,0.0268603,0.00895343
76,4676.73,0.5136,0.03443,0.05023,0.32125,0.86335,0.98794,0.99889,0.99488,0.92475,0.98794,0.99889,0.99488,0.99209,0.43217,0.02892,0.0214,0.2524,0.83192,0.0268179,0.00893929,0.0268179,0.00893929,0.0268179,0.00893929,0.0268179,0.00893929
77,4737.55,0.50708,0.03602,0.05438,0.31528,0.85658,0.99967,0.9878,0.99488,0.92353,0.99967,0.9878,0.99488,0.99488,0.45461,0.01736,0.00773,0.25802,0.84577,0.0267754,0.00892514,0.0267754,0.00892514,0.0267754,0.00892514,0.0267754,0.00892514
78,4798.72,0.51257,0.035,0.05103,0.31904,0.85557,1,0.99923,0.995,0.92283,1,0.99923,0.995,0.995,0.44992,0.01948,0.01567,0.25519,0.84176,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
79,4859.81,0.50559,0.03878,0.04908,0.31482,0.85622,1,0.99957,0.995,0.91,1,0.99957,0.995,0.995,0.46836,0.0189,0.00859,0.25251,0.84316,0.0266906,0.00889686,0.0266906,0.00889686,0.0266906,0.00889686,0.0266906,0.00889686
80,4920.59,0.50874,0.03798,0.04198,0.32026,0.86668,1,0.999,0.995,0.91866,1,0.999,0.995,0.99459,0.45998,0.01878,0.00331,0.25071,0.84164,0.0266481,0.00888271,0.0266481,0.00888271,0.0266481,0.00888271,0.0266481,0.00888271
81,4981.74,0.49884,0.03487,0.04222,0.31609,0.86217,1,0.98685,0.99488,0.91608,1,0.98685,0.99488,0.99439,0.4416,0.03048,0.02125,0.26406,0.83734,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
82,5042.58,0.49623,0.03023,0.04945,0.31885,0.86014,1,0.99926,0.995,0.92982,1,0.99926,0.995,0.99319,0.43854,0.03076,0.01425,0.24696,0.83302,0.0265633,0.00885443,0.0265633,0.00885443,0.0265633,0.00885443,0.0265633,0.00885443
83,5103.5,0.49764,0.03185,0.04294,0.3155,0.85376,0.99962,1,0.995,0.91173,0.99962,1,0.995,0.99264,0.43765,0.02944,0.01115,0.24961,0.83396,0.0265209,0.00884029,0.0265209,0.00884029,0.0265209,0.00884029,0.0265209,0.00884029
